"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 08 14:12:07 GMT 2022","Sat Oct 08 14:12:18 GMT 2022","10491","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Sat Oct 08 14:11:39 GMT 2022","Sat Oct 08 14:11:58 GMT 2022","19198","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Sat Oct 08 14:10:33 GMT 2022","Sat Oct 08 14:10:50 GMT 2022","16139","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Sat Oct 08 14:11:45 GMT 2022","Sat Oct 08 14:12:07 GMT 2022","21522","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Sat Oct 08 14:10:47 GMT 2022","Sat Oct 08 14:11:09 GMT 2022","21145","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Sat Oct 08 14:10:34 GMT 2022","Sat Oct 08 14:10:45 GMT 2022","11253","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
