"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 08 11:57:06 GMT 2022","Sat Oct 08 11:57:12 GMT 2022","5738","firefox","testrunner.spec.ts","","","","test",""
"passed","Sat Oct 08 11:57:01 GMT 2022","Sat Oct 08 11:57:06 GMT 2022","4408","chromium","testrunner.spec.ts","","","","test",""
"passed","Sat Oct 08 11:57:13 GMT 2022","Sat Oct 08 11:57:21 GMT 2022","8227","webkit","testrunner.spec.ts","","","","test",""
