"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 11 07:44:02 GMT 2022","Tue Oct 11 07:44:28 GMT 2022","25767","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"passed","Tue Oct 11 07:47:22 GMT 2022","Tue Oct 11 07:47:54 GMT 2022","31976","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Tue Oct 11 07:46:35 GMT 2022","Tue Oct 11 07:46:54 GMT 2022","19373","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Tue Oct 11 07:42:56 GMT 2022","Tue Oct 11 07:43:19 GMT 2022","22650","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Tue Oct 11 07:45:23 GMT 2022","Tue Oct 11 07:45:49 GMT 2022","25624","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Tue Oct 11 07:41:45 GMT 2022","Tue Oct 11 07:42:08 GMT 2022","22693","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
