"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 09 15:58:28 GMT 2022","Sun Oct 09 15:58:53 GMT 2022","25023","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Sun Oct 09 15:57:38 GMT 2022","Sun Oct 09 15:57:50 GMT 2022","11737","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Sun Oct 09 15:59:11 GMT 2022","Sun Oct 09 15:59:21 GMT 2022","10137","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
"failed","Sun Oct 09 15:58:54 GMT 2022","Sun Oct 09 15:59:09 GMT 2022","14185","webkit","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Sun Oct 09 15:57:58 GMT 2022","Sun Oct 09 15:58:18 GMT 2022","19664","firefox","testrunner.spec.ts","Chatbot TestCases","","","TC1. Explain chatbots",""
"failed","Sun Oct 09 15:57:38 GMT 2022","Sun Oct 09 15:57:50 GMT 2022","12434","chromium","testrunner.spec.ts","Chatbot TestCases","","","TC2. Exit chatbot",""
